epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,7854.61,0.38091,0.17857,0.77739,0.85211,0.79837,0.85629,0.61552,0.67937,0.30772,0.83189,0.00026422,0.00026422,0.00026422
87,7945.89,0.38156,0.17884,0.77747,0.85577,0.79134,0.85434,0.61205,0.68987,0.30947,0.83348,0.000247716,0.000247716,0.000247716
88,8037.05,0.38045,0.17707,0.77702,0.85522,0.77551,0.84776,0.61956,0.66897,0.2986,0.831,0.000231213,0.000231213,0.000231213
89,8129.45,0.37679,0.17461,0.77806,0.83377,0.78619,0.84815,0.61737,0.68631,0.30793,0.8333,0.00021471,0.00021471,0.00021471
90,8220.53,0.37697,0.17497,0.77653,0.87777,0.76521,0.84727,0.61382,0.68462,0.30676,0.83368,0.000198206,0.000198206,0.000198206
91,8310.83,0.35863,0.1678,0.77537,0.82155,0.79899,0.84364,0.60937,0.69768,0.3047,0.83649,0.000181703,0.000181703,0.000181703
92,8400.33,0.35653,0.16649,0.77567,0.84102,0.77744,0.84238,0.61104,0.69903,0.31221,0.8373,0.0001652,0.0001652,0.0001652
93,8489.92,0.35588,0.1658,0.7742,0.86984,0.75886,0.84343,0.61387,0.69264,0.31348,0.83703,0.000148696,0.000148696,0.000148696
94,8579.42,0.35398,0.16418,0.77443,0.86992,0.76236,0.84558,0.61236,0.70512,0.31431,0.8397,0.000132193,0.000132193,0.000132193
95,8668.98,0.35263,0.16322,0.77509,0.83143,0.78824,0.85025,0.6138,0.69853,0.31327,0.83861,0.00011569,0.00011569,0.00011569
96,8758.56,0.35186,0.16254,0.77428,0.83009,0.78396,0.84773,0.60608,0.70793,0.31786,0.83921,9.91865e-05,9.91865e-05,9.91865e-05
97,8848.07,0.34956,0.16084,0.77375,0.83823,0.77628,0.84131,0.60446,0.69633,0.30658,0.83789,8.26832e-05,8.26832e-05,8.26832e-05
98,8937.69,0.34692,0.15934,0.77345,0.84474,0.77991,0.84951,0.61187,0.69715,0.30671,0.83749,6.61799e-05,6.61799e-05,6.61799e-05
99,9027.26,0.34621,0.15837,0.77362,0.84743,0.77765,0.84414,0.60906,0.69493,0.30842,0.83789,4.96766e-05,4.96766e-05,4.96766e-05
100,9116.74,0.34554,0.15696,0.77418,0.83724,0.77635,0.83894,0.60248,0.70024,0.30929,0.83834,3.31733e-05,3.31733e-05,3.31733e-05
